prompt,full_rollout
"Sort these names in alphabetical order by FIRST name: DenizCakir, EnginDurgun

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: SalimCiraci, NurtenAkman

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: DenizCakir, EnginDurgun

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted><alphabetical_sorted>
EnginDurgun
DenizCakir
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: SalimCiraci, NurtenAkman

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
NurtenAkman // new name!
SalimCiraci // new name!
</combined_alphabetical_sorted>"
"Sort these names in alphabetical order by FIRST name: DenizCakir, EnginDurgun

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: SalimCiraci, NurtenAkman

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: DenizCakir, EnginDurgun

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted><alphabetical_sorted>
EnginDurgun
DenizCakir
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: SalimCiraci, NurtenAkman

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
NurtenAkman // new name!
SalimCiraci // new name!
</combined_alphabetical_sorted>"
"Sort these names in alphabetical order by FIRST name: DenizCakir, EnginDurgun

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: SalimCiraci, NurtenAkman

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: DenizCakir, EnginDurgun

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted><alphabetical_sorted>
EnginDurgun
DenizCakir
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: SalimCiraci, NurtenAkman

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
NurtenAkman // new name!
SalimCiraci // new name!
</combined_alphabetical_sorted>"
"Sort these names in alphabetical order by FIRST name: DenizCakir, EnginDurgun

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: SalimCiraci, NurtenAkman

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: DenizCakir, EnginDurgun

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted><alphabetical_sorted>
EnginDurgun
DenizCakir
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: SalimCiraci, NurtenAkman

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
NurtenAkman // new name!
SalimCiraci // new name!
</combined_alphabetical_sorted>"
"Sort these names in alphabetical order by FIRST name: XiaolinLi

Use exactly this format:
<alphabetical_sorted>
Name1
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: LiZhang

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: XiaolinLi

Use exactly this format:
<alphabetical_sorted>
Name1
</alphabetical_sorted><alphabetical_sorted>
XiaolinLi
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: LiZhang

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
LiZhang // new name!
XiaolinLi
</combined_alphabetical_sorted>"
"Sort these names in alphabetical order by FIRST name: XiaolinLi

Use exactly this format:
<alphabetical_sorted>
Name1
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: LiZhang

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: XiaolinLi

Use exactly this format:
<alphabetical_sorted>
Name1
</alphabetical_sorted><alphabetical_sorted>
XiaolinLi
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: LiZhang

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
XiaolinLi // new name!
LiZhang // new name!
</combined_alphabetical_sorted>"
"Sort these names in alphabetical order by FIRST name: XiaolinLi

Use exactly this format:
<alphabetical_sorted>
Name1
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: LiZhang

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: XiaolinLi

Use exactly this format:
<alphabetical_sorted>
Name1
</alphabetical_sorted><alphabetical_sorted>
XiaolinLi
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: LiZhang

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
LiZhang // new name!
XiaolinLi
</combined_alphabetical_sorted>"
"Sort these names in alphabetical order by FIRST name: XiaolinLi

Use exactly this format:
<alphabetical_sorted>
Name1
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: LiZhang

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: XiaolinLi

Use exactly this format:
<alphabetical_sorted>
Name1
</alphabetical_sorted><alphabetical_sorted>
XiaolinLi
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: LiZhang

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
XiaolinLi
LiZhang // new name!
</combined_alphabetical_sorted>"
"Sort these names in alphabetical order by FIRST name: ShlomoGelaki, VladimirDrinfeld

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: VictorOstrik, DmitriNikshych

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: ShlomoGelaki, VladimirDrinfeld

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted><alphabetical_sorted>
VladimirDrinfeld
ShlomoGelaki
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: VictorOstrik, DmitriNikshych

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
DmitriNikshych // new name!
VictorOstrik // new name!
</combined_alphabetical_sorted>"
"Sort these names in alphabetical order by FIRST name: ShlomoGelaki, VladimirDrinfeld

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted>Now sort ALL of these names alphabetically by FIRST name: VictorOstrik, DmitriNikshych

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted>","Sort these names in alphabetical order by FIRST name: ShlomoGelaki, VladimirDrinfeld

Use exactly this format:
<alphabetical_sorted>
Name1
Name2
</alphabetical_sorted><alphabetical_sorted>
ShlomoGelaki
VladimirDrinfeld
</alphabetical_sorted> Now sort ALL of these names alphabetically by FIRST name: VictorOstrik, DmitriNikshych

These are in addition to the prior list. Mark any NEW names (that weren't in the prior list) with `// new name!` at the end.

Use exactly this format:
<combined_alphabetical_sorted>
Name1
Name2
Name3 // new name!
Name4 // new name!
</combined_alphabetical_sorted> <combined_alphabetical_sorted>
DmitriNikshych // new name!
VictorOstrik // new name!
</combined_alphabetical_sorted>"
